"id","sevcat","strata","con","hdw"
"29-40071","HH","canopy",0,0
"29-40071","HH","subcanopy",0,0
"29-40071","HH","understory",0,0
"4520118-03","HH","canopy",0,0
"4520118-03","HH","subcanopy",0,0
"4520118-03","HH","understory",0,0
"53-40067","HH","canopy",0,0
"53-40067","HH","subcanopy",0,0
"53-40067","HH","understory",0,0
"R170","HL","canopy",0,0
"R170","HL","subcanopy",0,0
"R170","HL","understory",1217.754772,0
"R219","HL","canopy",93.13069519,62.08713013
"R219","HL","subcanopy",0,793.192666
"R219","HL","understory",0,317.2770664
"R22","HL","canopy",0,0
"R22","HL","subcanopy",0,0
"R22","HL","understory",0,0
"R243","HL","canopy",55.66808452,0
"R243","HL","subcanopy",0,0
"R243","HL","understory",0,0
"R46","HL","canopy",108.9368169,0
"R46","HL","subcanopy",0,0
"R46","HL","understory",0,0
"R66","HL","canopy",54.60863078,0
"R66","HL","subcanopy",81.91294616,0
"R66","HL","understory",0,0
"R70","HL","canopy",0,0
"R70","HL","subcanopy",0,0
"R70","HL","understory",0,0
"R91","HL","canopy",0,0
"R91","HL","subcanopy",0,0
"R91","HL","understory",0,0
"S103","HL","canopy",0,0
"S103","HL","subcanopy",0,0
"S103","HL","understory",0,0
"S122","HL","canopy",0,0
"S122","HL","subcanopy",0,0
"S122","HL","understory",0,0
"S142","HH","canopy",0,0
"S142","HH","subcanopy",0,2256.369461
"S142","HH","understory",0,0
"S157","HL","canopy",0,0
"S157","HL","subcanopy",0,0
"S157","HL","understory",0,0
"S159","HL","canopy",0,0
"S159","HL","subcanopy",0,0
"S159","HL","understory",0,0
"S161","HL","canopy",48.30705293,0
"S161","HL","subcanopy",0,142.8742039
"S161","HL","understory",0,0
"S170","HH","canopy",0,0
"S170","HH","subcanopy",0,0
"S170","HH","understory",0,0
"S172","HL","canopy",0,0
"S172","HL","subcanopy",0,0
"S172","HL","understory",0,0
"S174","HL","canopy",0,0
"S174","HL","subcanopy",0,0
"S174","HL","understory",0,0
"S175","HL","canopy",0,0
"S175","HL","subcanopy",0,0
"S175","HL","understory",0,0
"S177","HL","canopy",0,0
"S177","HL","subcanopy",0,0
"S177","HL","understory",0,0
"S179","HL","canopy",0,0
"S179","HL","subcanopy",0,0
"S179","HL","understory",0,0
"S192","HL","canopy",0,0
"S192","HL","subcanopy",0,0
"S192","HL","understory",0,0
"S205","HL","canopy",0,0
"S205","HL","subcanopy",0,0
"S205","HL","understory",0,0
"S29","HH","canopy",0,0
"S29","HH","subcanopy",0,0
"S29","HH","understory",0,0
"S30","HH","canopy",0,0
"S30","HH","subcanopy",0,0
"S30","HH","understory",0,0
"S33","HL","canopy",0,0
"S33","HL","subcanopy",0,0
"S33","HL","understory",0,0
"S46","HL","canopy",0,0
"S46","HL","subcanopy",0,0
"S46","HL","understory",0,0
"S61","HH","canopy",0,0
"S61","HH","subcanopy",0,0
"S61","HH","understory",0,0
"S65","HH","canopy",0,0
"S65","HH","subcanopy",0,2327.945825
"S65","HH","understory",0,0
"S76","HH","canopy",0,0
"S76","HH","subcanopy",0,0
"S76","HH","understory",0,0
"S79","HH","canopy",0,0
"S79","HH","subcanopy",0,0
"S79","HH","understory",0,0
"S95","HL","canopy",0,0
"S95","HL","subcanopy",0,0
"S95","HL","understory",0,0
"S98","HH","canopy",0,0
"S98","HH","subcanopy",0,0
"S98","HH","understory",0,0
